table_schema,table_name,indexname,indexdef
sch_convenios,t_prestadores_puntos_de_venta,pk_prestadores_puntos_de_venta,CREATE UNIQUE INDEX pk_prestadores_puntos_de_venta ON sch_convenios.t_prestadores_puntos_de_venta USING btree (id)
sch_convenios,t_reglas_moduladas,pk_reglas_moduladas_id,CREATE UNIQUE INDEX pk_reglas_moduladas_id ON sch_convenios.t_reglas_moduladas USING btree (id)
sch_convenios,t_reglas_moduladas_detalles,pk_reglas_moduladas_detalles_id,CREATE UNIQUE INDEX pk_reglas_moduladas_detalles_id ON sch_convenios.t_reglas_moduladas_detalles USING btree (id)
sch_convenios,t_sociedades,pk_sociedades,CREATE UNIQUE INDEX pk_sociedades ON sch_convenios.t_sociedades USING btree (id)
sch_convenios,t_sociedades_prestadores,pk_sociedades_prestadores_id,CREATE UNIQUE INDEX pk_sociedades_prestadores_id ON sch_convenios.t_sociedades_prestadores USING btree (id)
sch_convenios,t_tarifario_descartables,t_tarifario_descartables_pk,CREATE UNIQUE INDEX t_tarifario_descartables_pk ON sch_convenios.t_tarifario_descartables USING btree (id)
sch_convenios,t_tarifarios,pk_tarifarios_id,CREATE UNIQUE INDEX pk_tarifarios_id ON sch_convenios.t_tarifarios USING btree (id)
sch_convenios,t_tarifarios_componentes,idx_ttc_tar_prest_comp_vig,"CREATE INDEX idx_ttc_tar_prest_comp_vig ON sch_convenios.t_tarifarios_componentes USING btree (id_tarifario_prestacion_catalogo, id_componente_prestacion, fecha_vigencia_inicio DESC, id DESC) INCLUDE (precio, fecha_vigencia_fin)"
sch_convenios,t_tarifarios_componentes,pk_componente_tarifario_id,CREATE UNIQUE INDEX pk_componente_tarifario_id ON sch_convenios.t_tarifarios_componentes USING btree (id)
sch_convenios,t_tarifarios_convenios_planes,pk_tarifarios_conv_plan_id,CREATE UNIQUE INDEX pk_tarifarios_conv_plan_id ON sch_convenios.t_tarifarios_convenios_planes USING btree (id)
sch_convenios,t_tarifarios_medicamentos,pk_tarifarios_medicamentos_id,CREATE UNIQUE INDEX pk_tarifarios_medicamentos_id ON sch_convenios.t_tarifarios_medicamentos USING btree (id)
sch_convenios,t_tarifarios_medicamentos_prod,pk_tarifarios_medicamentos_id_1,CREATE UNIQUE INDEX pk_tarifarios_medicamentos_id_1 ON sch_convenios.t_tarifarios_medicamentos_prod USING btree (id)
sch_convenios,t_tarifarios_prestaciones_catalogos,idx_ttpc_lookup_last,"CREATE INDEX idx_ttpc_lookup_last ON sch_convenios.t_tarifarios_prestaciones_catalogos USING btree (id_tarifario, id_prestacion_catalogo, id_ambito, fecha_vigencia_inicio DESC)"
sch_convenios,t_tarifarios_prestaciones_catalogos,idx_ttpc_tarifario_vigencias,"CREATE INDEX idx_ttpc_tarifario_vigencias ON sch_convenios.t_tarifarios_prestaciones_catalogos USING btree (id_tarifario, fecha_vigencia_inicio, fecha_vigencia_fin)"
sch_convenios,t_tarifarios_prestaciones_catalogos,pk_tarifarios_pres_cat_id,CREATE UNIQUE INDEX pk_tarifarios_pres_cat_id ON sch_convenios.t_tarifarios_prestaciones_catalogos USING btree (id)
sch_convenios,t_tipos_financiadores,pk_tipos_financiadores,CREATE UNIQUE INDEX pk_tipos_financiadores ON sch_convenios.t_tipos_financiadores USING btree (id)
sch_convenios,tm_especialidades,pk_especialidades_id,CREATE UNIQUE INDEX pk_especialidades_id ON sch_convenios.tm_especialidades USING btree (id)
sch_convenios,tm_origen_medicamentos,pk_origen_medicamentos_id,CREATE UNIQUE INDEX pk_origen_medicamentos_id ON sch_convenios.tm_origen_medicamentos USING btree (id)
sch_convenios,tm_pami_modulos,pk_pami_modulos_id,CREATE UNIQUE INDEX pk_pami_modulos_id ON sch_convenios.tm_pami_modulos USING btree (id)
sch_convenios,tm_servicios,pk_servicios_id,CREATE UNIQUE INDEX pk_servicios_id ON sch_convenios.tm_servicios USING btree (id)
sch_convenios,tm_tipos_calculos,pk_tipos_calculos_id,CREATE UNIQUE INDEX pk_tipos_calculos_id ON sch_convenios.tm_tipos_calculos USING btree (id)
sch_convenios,tm_tipos_componentes,pk_tipo_componente_id,CREATE UNIQUE INDEX pk_tipo_componente_id ON sch_convenios.tm_tipos_componentes USING btree (id)
sch_convenios,tm_tipos_convenios,pk_tipo_convenios_id,CREATE UNIQUE INDEX pk_tipo_convenios_id ON sch_convenios.tm_tipos_convenios USING btree (id)
sch_convenios,tm_tipos_galenos,pk_tipo_galeno_id,CREATE UNIQUE INDEX pk_tipo_galeno_id ON sch_convenios.tm_tipos_galenos USING btree (id)
sch_convenios,tm_tipos_homologacion,pk_tipos_homologacion_id,CREATE UNIQUE INDEX pk_tipos_homologacion_id ON sch_convenios.tm_tipos_homologacion USING btree (id)
sch_convenios,tm_tipos_inclusiones,pk_tipos_inclusiones_id,CREATE UNIQUE INDEX pk_tipos_inclusiones_id ON sch_convenios.tm_tipos_inclusiones USING btree (id)
sch_convenios,tm_tipos_normas_documentos,pk_tipos_normas_documentos_id,CREATE UNIQUE INDEX pk_tipos_normas_documentos_id ON sch_convenios.tm_tipos_normas_documentos USING btree (id)
sch_convenios,tm_tipos_valorizaciones,pk_tipo_valorizacion_id,CREATE UNIQUE INDEX pk_tipo_valorizacion_id ON sch_convenios.tm_tipos_valorizaciones USING btree (id)
