table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
sch_convenios,t_homologaciones,2,id_prestacion_referencia,bigint,int8,NO,
sch_convenios,t_homologaciones,3,id_prestacion_catalogo,bigint,int8,YES,
sch_convenios,t_homologaciones,4,id_catalogo,bigint,int8,NO,
sch_convenios,t_homologaciones,5,id_tipo_homologacion,integer,int4,NO,
sch_convenios,t_homologaciones,6,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_homologaciones,7,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_locaciones,1,id,bigint,int8,NO,nextval('sch_convenios.t_locaciones_id_seq'::regclass)
sch_convenios,t_locaciones,2,id_prestador,bigint,int8,NO,
sch_convenios,t_locaciones,3,id_domicilio,bigint,int8,NO,
sch_convenios,t_locaciones,4,nombre,character varying,varchar,NO,
sch_convenios,t_locaciones,5,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_locaciones,6,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_locaciones,7,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_locaciones_contactos,1,id,bigint,int8,NO,nextval('sch_convenios.t_locaciones_contactos_id_seq'::regclass)
sch_convenios,t_locaciones_contactos,2,id_locacion,bigint,int8,NO,
sch_convenios,t_locaciones_contactos,3,id_contacto,bigint,int8,NO,
sch_convenios,t_locaciones_puntos_de_venta,1,id,bigint,int8,NO,nextval('sch_convenios.t_locaciones_puntos_de_venta_id_seq'::regclass)
sch_convenios,t_locaciones_puntos_de_venta,2,id_locacion,bigint,int8,NO,
sch_convenios,t_locaciones_puntos_de_venta,3,descripcion,character varying,varchar,NO,
sch_convenios,t_locaciones_puntos_de_venta,4,codigo_referencia,character varying,varchar,NO,
sch_convenios,t_locaciones_puntos_de_venta,5,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_medicamentos_comerciales,1,id,bigint,int8,NO,nextval('sch_convenios.t_medicamentos_comerciales_id_seq'::regclass)
sch_convenios,t_medicamentos_comerciales,2,id_origen_medicamento,bigint,int8,NO,
sch_convenios,t_medicamentos_comerciales,3,codigo,character varying,varchar,NO,
sch_convenios,t_medicamentos_comerciales,4,nombre,character varying,varchar,NO,
sch_convenios,t_medicamentos_comerciales,5,cantidad_unidades,integer,int4,NO,
sch_convenios,t_medicamentos_comerciales,6,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_medicamentos_comerciales,7,fecha_baja,timestamp with time zone,timestamptz,YES,
sch_convenios,t_medicamentos_comerciales,8,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_medicamentos_comerciales,9,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_medicamentos_comerciales,10,laboratorio,character varying,varchar,YES,
sch_convenios,t_medicamentos_comerciales,11,nro_registro,integer,int4,YES,
sch_convenios,t_medicamentos_comerciales_prod,1,id,bigint,int8,NO,nextval('sch_convenios.t_medicamentos_comerciales_prod_id_seq'::regclass)
sch_convenios,t_medicamentos_comerciales_prod,2,id_origen_medicamento,bigint,int8,NO,
sch_convenios,t_medicamentos_comerciales_prod,3,codigo,character varying,varchar,NO,
sch_convenios,t_medicamentos_comerciales_prod,4,nombre,character varying,varchar,NO,
sch_convenios,t_medicamentos_comerciales_prod,5,cantidad_unidades,integer,int4,NO,
sch_convenios,t_medicamentos_comerciales_prod,6,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_medicamentos_comerciales_prod,7,fecha_baja,timestamp with time zone,timestamptz,YES,
sch_convenios,t_medicamentos_comerciales_prod,8,fecha_vigencia_inicio,timestamp with time zone,timestamptz,YES,
sch_convenios,t_medicamentos_comerciales_prod,9,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_medicamentos_comerciales_prod,10,laboratorio,character varying,varchar,YES,
sch_convenios,t_medicamentos_comerciales_prod,11,nro_registro,integer,int4,YES,
sch_convenios,t_modulos,1,id,bigint,int8,NO,nextval('sch_convenios.t_modulos_id_seq'::regclass)
sch_convenios,t_modulos,2,nombre,character varying,varchar,NO,
sch_convenios,t_modulos,3,tipo_configuracion,integer,int4,YES,
sch_convenios,t_modulos,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_modulos,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_modulos,6,horas_duracion,integer,int4,YES,
sch_convenios,t_modulos_prestaciones,1,id,bigint,int8,NO,nextval('sch_convenios.t_modulos_prestaciones_id_seq'::regclass)
sch_convenios,t_modulos_prestaciones,2,id_modulo,bigint,int8,NO,
sch_convenios,t_modulos_prestaciones,3,id_prestacion_referencia,bigint,int8,NO,
sch_convenios,t_modulos_prestaciones,4,id_tipo_inclusion,integer,int4,NO,
sch_convenios,t_modulos_prestaciones,5,tope,integer,int4,YES,
sch_convenios,t_modulos_prestaciones,6,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_modulos_prestaciones,7,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_modulos_reglas,1,id,bigint,int8,NO,nextval('sch_convenios.t_modulos_reglas_id_seq'::regclass)
sch_convenios,t_modulos_reglas,2,id_modulo,bigint,int8,NO,
sch_convenios,t_modulos_reglas,3,id_regla_modulada,bigint,int8,NO,
sch_convenios,t_modulos_reglas,4,id_tipo_inclusion,integer,int4,NO,
sch_convenios,t_modulos_reglas,5,orden,integer,int4,NO,
sch_convenios,t_modulos_reglas,6,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_modulos_reglas,7,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_nomencladores,1,id,bigint,int8,NO,nextval('sch_convenios.t_nomencladores_id_seq'::regclass)
sch_convenios,t_nomencladores,2,nombre,character varying,varchar,NO,
sch_convenios,t_nomencladores,3,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_nomencladores,4,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_nomencladores,5,estado,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_normas_convenios_planes,1,id,bigint,int8,NO,nextval('sch_convenios.t_normas_convenios_planes_id_seq'::regclass)
sch_convenios,t_normas_convenios_planes,2,id_convenio_plan,bigint,int8,NO,
sch_convenios,t_normas_convenios_planes,3,id_norma_operativa,bigint,int8,NO,
sch_convenios,t_normas_convenios_planes,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_normas_convenios_planes,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_normas_documentos,1,id,bigint,int8,NO,nextval('sch_convenios.t_normas_documentos_id_seq'::regclass)
sch_convenios,t_normas_documentos,2,id_norma_operativa,bigint,int8,NO,
sch_convenios,t_normas_documentos,3,id_prestacion_catalogo,bigint,int8,NO,
sch_convenios,t_normas_documentos,4,id_tipo_norma_documento,integer,int4,NO,
sch_convenios,t_normas_documentos,5,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_normas_documentos,6,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
