fk_schema,fk_table,constraint_name,fk_column,pk_schema,pk_table,pk_column,key_ordinal
sch_convenios,t_pami_modulos_prestadores,fk_pami_modulos_prestadores_modulo,id_pami_modulo,sch_convenios,tm_pami_modulos,id,1
sch_convenios,t_pami_modulos_prestadores,fk_pami_modulos_prestadores_prestador,id_prestador,sch_convenios,t_prestadores,id,1
sch_convenios,t_planes,fk_planes_financiadores,id_financiador,sch_convenios,t_financiadores,id,1
sch_convenios,t_planes_historicos,fk_planes_historicos_planes,id_plan,sch_convenios,t_planes,id,1
sch_convenios,t_planes_tipos_iva,fk_planes_tipos_iva_planes,id_plan,sch_convenios,t_planes,id,1
sch_convenios,t_prestaciones_catalogos,fk_prestaciones_catalogo_id_catalogo,id_catalogo,sch_convenios,t_catalogos,id,1
sch_convenios,t_prestaciones_catalogos,fk_prestaciones_catalogos_id_modulo,id_modulo,sch_convenios,t_modulos,id,1
sch_convenios,t_prestaciones_catalogos_ambitos,fk_prestaciones_catalogos_ambitos_id_prestacion_catalogo,id_prestacion_catalogo,sch_convenios,t_prestaciones_catalogos,id,1
sch_convenios,t_prestaciones_convenios_planes,fk_prestaciones_convenios_planes_id_convenio_plan,id_convenio_plan,sch_convenios,t_convenios_planes,id,1
sch_convenios,t_prestaciones_convenios_planes,fk_prestaciones_convenios_planes_id_prestacion_catalogo,id_prestacion_catalogo,sch_convenios,t_prestaciones_catalogos,id,1
sch_convenios,t_prestaciones_convenios_planes,fk_prestaciones_convenios_planes_id_tipo_inclusion,id_tipo_inclusion,sch_convenios,tm_tipos_inclusiones,id,1
sch_convenios,t_prestaciones_descartables,prestacion_descartables_prestaciones_fk,id_prestacion_referencia,sch_facturador,t_prestaciones,id,1
sch_convenios,t_prestaciones_descartables,prestaciones_descartables_descartables_fk,id_descartable,sch_convenios,t_descartables,id,1
sch_convenios,t_prestaciones_medicamentos,fk_prestaciones_medicamentos_id_orig_medicamento,id_medicamento_comercial,sch_convenios,t_medicamentos_comerciales,id,1
sch_convenios,t_prestaciones_medicamentos,fk_prestaciones_medicamentos_id_prestacion_referencia,id_prestacion_referencia,sch_facturador,t_prestaciones,id,1
sch_convenios,t_prestadores,fk_prestadores_domicilios,id_domicilio,sch_convenios,t_domicilios,id,1
sch_convenios,t_prestadores,fk_prestadores_sociedades,id_sociedad,sch_convenios,t_sociedades,id,1
sch_convenios,t_prestadores_contactos,fk_prestadores_contactos_contactos,id_contacto,sch_convenios,t_contactos,id,1
sch_convenios,t_prestadores_contactos,fk_prestadores_contactos_prestadores,id_prestador,sch_convenios,t_prestadores,id,1
sch_convenios,t_prestadores_directores,fk_prestadores_directores_prestadores,id_prestador,sch_convenios,t_prestadores,id,1
sch_convenios,t_prestadores_historicos,fk_prestadores_historicos_prestadores,id_prestador,sch_convenios,t_prestadores,id,1
sch_convenios,t_prestadores_modulos,t_prestadores_modulos_id_clasificacion_prestacion_valor_fkey,id_clasificacion_prestacion_valor,sch_convenios,t_clasificacion_prestaciones_valores,id,1
sch_convenios,t_prestadores_modulos,t_prestadores_modulos_id_prestador_fkey,id_prestador,sch_convenios,t_prestadores,id,1
sch_convenios,t_prestadores_modulos_pami,t_prestadores_modulos_pami_id_clasificacion_prestacion_val_fkey,id_clasificacion_prestacion_valor,sch_convenios,t_clasificacion_prestaciones_valores,id,1
sch_convenios,t_prestadores_puntos_de_venta,fk_sociedad_prestador,id_sociedad_prestador,sch_convenios,t_sociedades_prestadores,id,1
sch_convenios,t_reglas_moduladas_detalles,fk_reglas_moduladas_detalles_id_clasificacion_prest_valor,id_clasificacion_valor,sch_convenios,t_clasificacion_prestaciones_valores,id,1
sch_convenios,t_reglas_moduladas_detalles,fk_reglas_moduladas_detalles_id_regla_modulo,id_regla_modulada,sch_convenios,t_reglas_moduladas,id,1
sch_convenios,t_sociedades_prestadores,fk_sociedades_prestadores_prestador,id_prestador,sch_convenios,t_prestadores,id,1
sch_convenios,t_sociedades_prestadores,fk_sociedades_prestadores_sociedades,id_sociedad,sch_convenios,t_sociedades,id,1
sch_convenios,t_tarifario_descartables,fk_tarifario_descartables_impo_desc_job,id_importacion_descartables_job,sch_facturador,t_importacion_descartables_job,id,1
sch_convenios,t_tarifario_descartables,tarifario_descartables_codigo_sap_fk,id_descartable,sch_convenios,t_descartables,id,1
